game,market,player,line,odds_over,odds_under
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds assists,Dillon Brooks,28.5,-111.0,-115.0
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds assists,Grayson Allen,25.5,-120.0,-106.0
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds assists,Collin Gillespie,27.5,-115.0,-108.0
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds assists,Royce O'Neale,17.5,-128.0,100.0
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds assists,Anthony Edwards,38.5,-111.0,-115.0
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds assists,Julius Randle,36.5,-115.0,-111.0
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds assists,Jaden McDaniels,23.5,-104.0,-122.0
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds assists,Donte DiVincenzo,22.5,-108.0,-118.0
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds,Dillon Brooks,26.5,-108.0,-120.0
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds,Grayson Allen,21.5,-125.0,-102.0
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds,Collin Gillespie,21.5,-115.0,-113.0
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds,Mark Williams,20.5,-113.0,-113.0
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds,Royce O'Neale,15.5,100.0,-128.0
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds,Anthony Edwards,34.5,-104.0,-122.0
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds,Julius Randle,30.5,-115.0,-111.0
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds,Jaden McDaniels,20.5,-113.0,-113.0
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds,Donte DiVincenzo,18.5,-111.0,-115.0
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds,Rudy Gobert,21.5,-106.0,-120.0
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds,Ryan Dunn,11.5,-104.0,-122.0
phoenix-suns-@-minnesota-timberwolves-35036256,points rebounds,Oso Ighodaro,8.5,-132.0,104.0
phoenix-suns-@-minnesota-timberwolves-35036256,points assists,Dillon Brooks,24.5,-122.0,-108.0
phoenix-suns-@-minnesota-timberwolves-35036256,points assists,Grayson Allen,22.5,-118.0,-112.0
phoenix-suns-@-minnesota-timberwolves-35036256,points assists,Collin Gillespie,23.5,-112.0,-118.0
phoenix-suns-@-minnesota-timberwolves-35036256,points assists,Royce O'Neale,12.5,-122.0,-108.0
phoenix-suns-@-minnesota-timberwolves-35036256,points assists,Anthony Edwards,33.5,-106.0,-125.0
phoenix-suns-@-minnesota-timberwolves-35036256,points assists,Julius Randle,29.5,-110.0,-120.0
phoenix-suns-@-minnesota-timberwolves-35036256,points assists,Jaden McDaniels,18.5,-110.0,-120.0
phoenix-suns-@-minnesota-timberwolves-35036256,points assists,Donte DiVincenzo,18.5,-104.0,-128.0
phoenix-suns-@-minnesota-timberwolves-35036256,rebounds assists,Dillon Brooks,5.5,-115.0,-111.0
phoenix-suns-@-minnesota-timberwolves-35036256,rebounds assists,Grayson Allen,6.5,-128.0,100.0
phoenix-suns-@-minnesota-timberwolves-35036256,rebounds assists,Collin Gillespie,9.5,-140.0,110.0
phoenix-suns-@-minnesota-timberwolves-35036256,rebounds assists,Royce O'Neale,7.5,-128.0,100.0
phoenix-suns-@-minnesota-timberwolves-35036256,rebounds assists,Anthony Edwards,9.5,100.0,-128.0
phoenix-suns-@-minnesota-timberwolves-35036256,rebounds assists,Julius Randle,13.5,108.0,-138.0
phoenix-suns-@-minnesota-timberwolves-35036256,rebounds assists,Jaden McDaniels,7.5,-104.0,-122.0
phoenix-suns-@-minnesota-timberwolves-35036256,rebounds assists,Donte DiVincenzo,7.5,-130.0,102.0
sacramento-kings-@-indiana-pacers-35036255,points rebounds assists,Zach LaVine,27.5,-113.0,-113.0
sacramento-kings-@-indiana-pacers-35036255,points rebounds assists,DeMar DeRozan,26.5,-108.0,-118.0
